query_id,query,product_id,product_title
6014,aa batteries 100 pack,B01G1RYHAO,Energizer Advanced AA Alkaline Bulk Battery - 100 Count
6014,aa batteries 100 pack,B07FP5DNBG,"IMPECCA AA Batteries, All Purpose Alkaline Batteries (100-Pack) Double A High Performance AA Battery Long Lasting Shelf Life and Leak Resistant 100-Count LR6 - Platinum Series (case Included!)"
6014,aa batteries 100 pack,B07F7RH8D4,"Allmax AA Maximum Power Alkaline Batteries (100 Count Bulk Pack) – Ultra Long-Lasting Double A Battery, 10-Year Shelf Life, Leak-Proof, Device Compatible – Powered by EnergyCircle Technology (1.5V)"
6014,aa batteries 100 pack,B01B8R6PF2,"Amazon Basics 100 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack"
6014,aa batteries 100 pack,B00LHSAARW,"Rayovac AA Alkaline Double A Batteries, 60 Count"
6014,aa batteries 100 pack,B00KMDL8U6,Energizer AA Max Alkaline E91 Batteries Made in USA - Expiration 12/2024 or Later - 100 Count
6014,aa batteries 100 pack,B004SCA15K,"ACDelco 100-Count AA Batteries, Maximum Power Super Alkaline Battery, 10-Year Shelf Life, Recloseable Packaging"
6014,aa batteries 100 pack,B01B8R6V2E,"Amazon Basics 100 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack"
32814,"dewalt 8v max cordless screwdriver kit, gyroscopic",B07TWK2S22,"DEWALT XTREME 12V MAX Cordless Screwdriver, 1/4-Inch, Tool Only (DCF601B)"
32814,"dewalt 8v max cordless screwdriver kit, gyroscopic",B0812ZHY5N,"ENERTWIST Cordless Screwdriver, 8V Max 10Nm Electric Screwdriver Rechargeable Set with 82 Accessory Kit and Charger in Carrying Case, 21+1 Cluth, Dual Position Handle, LED Light, ET-CS-8"
32814,"dewalt 8v max cordless screwdriver kit, gyroscopic",B07S7F53YK,"DEWALT DCF680N2 8V Max Gyroscopic Screwdriver 2 Battery Kit with DEWALT DWST08201 Tough System Case, Small"
32814,"dewalt 8v max cordless screwdriver kit, gyroscopic",B00EUHAGX0,DEWALT DCB095 8V MAX Battery Charger
32814,"dewalt 8v max cordless screwdriver kit, gyroscopic",B00DL7QDS2,"DEWALT 8V MAX Cordless Screwdriver Kit, Gyroscopic, 2 Batteries, Electric (DCF680N2)"
32814,"dewalt 8v max cordless screwdriver kit, gyroscopic",B011WRUODC,"DEWALT 8V MAX Cordless Screwdriver Kit, Gyroscopic, 1 Battery, Electric (DCF682N1)"
58953,kodak photo paper 8.5 x 11 glossy,B085G3MGFR,"Kodak photo paper 8.5 x 11 glossy, 50 counts 66 lb - 252 g/m (41159-8360513)"
58953,kodak photo paper 8.5 x 11 glossy,B085F42SV6,"Kodak photo paper 8.5 x 11 matte, 100 count 39 lb - 145 g/m (41164-8318164)"
58953,kodak photo paper 8.5 x 11 glossy,B01M0L2WLF,"Photo Paper, 6.5 mil, Glossy, 8-1/2 x 11, 100 Sheets/Pack"
58953,kodak photo paper 8.5 x 11 glossy,B01JB7D4SW,"Kodak 8209017 Photo Paper, 6.5 mil, Glossy, 8-1/2 x 11, 100 Sheets/Pack"
58953,kodak photo paper 8.5 x 11 glossy,B000EZTYHG,"Kodak Photo Paper for inkjet printers, Gloss Finish, 7 mil thickness, 50 Sheets, 8.5” x 11” (1213712)"
58953,kodak photo paper 8.5 x 11 glossy,B000EZTYG2,"Kodak Ultra Premium Photo Paper for inkjet printers, Gloss Finish, 10.7 mil thickness, 25 sheets, 8.5” x 11” (8366353),White"
58953,kodak photo paper 8.5 x 11 glossy,B000EZTYCG,"Kodak Premium Photo Paper for inkjet printers, Gloss Finish, 8.5 mil thickness, 25 Sheets, 8.5” x 11” (8689283)"
58953,kodak photo paper 8.5 x 11 glossy,B000EZ0CTK,"Kodak Photo Paper for inkjet printers, Matte Finish, 7 mil thickness, 100 sheets, 8.5” x 11” (8318164)"
58953,kodak photo paper 8.5 x 11 glossy,B000EYAKKW,"Kodak Premium Photo Paper for inkjet printers, Gloss Finish, 8.5 mil thickness, 50 Sheets, 8.5” x 11” (8360513),White"
58953,kodak photo paper 8.5 x 11 glossy,B000EYAKJS,"KODAK Photo Paper Gloss 8.5""x11"", 25 count, 48lb-180g/m2 weight, 6.5 mil thickness (41161 - 1912369),White"
